Medication,Requirement Rule Name,Requirement Option Rule Name,Identifier,Label,Validation
Wegovy (semaglutide),,bmi_over_27,bmi_over_27,Documented baseline body mass index (BMI) ≥ 27 kg/m^2 (within the last 30 days).,An initial BMI of less than 27 kg/m^2 is unlikely to be approved.
Wegovy (semaglutide),,no_weight_loss_agent,no_weight_loss_agent,Document the patient has not tried a targeted weight loss agent in the past 12 months.,Stop and contact provider to document this in the patient's chart. Add to your PA submission.
Wegovy (semaglutide),age,,weight_loss_regimen,Document that the patient has been on a weight loss regimen of a low-calorie diet; increased physical activity; and behavioral modifications for a minimum of 6 months prior to initiating therapy with Wegovy.,This is not required; but including may help improve the chances of approval.
Wegovy (semaglutide),age,,did_not_achieve_weight_loss,Document the patient did not achieve a weight loss of 1 pound or more per week while on the weight loss regimen prior to initiating therapy with Wegovy.,This is not required; but including may help improve the chances of approval.
Wegovy (semaglutide),age,,continue_weight_loss_regimen,Document the patient is currently on and will continue a weight loss regimen of a low-calorie diet; increased physical activity; and behavioral modifications.,Stop and contact provider to document this in the patient's chart. Add to your PA submission.
Wegovy (semaglutide),age,,no_history_of_medullary_thyroid_carcinoma_multiple_endocrine_neoplasia_pancreatitis,Document that the patient does NOT have a personal or family history of medullary thyroid carcinoma or Multiple Endocrine Neoplasia syndrome type 2 or have a history of pancreatitis.,Stop and contact provider to document this in the patient's chart. Add to your PA submission.
Wegovy (semaglutide),age,,no_hypersensitivity_to_semaglutide,Document that the patient does NOT have a known hypersensitivity to semaglutide or any of the ingredients in Wegovy.,Stop and contact provider to document this in the patient's chart. Add to your PA submission.
Wegovy (semaglutide),age,,no_use_with_glp1,Document the patient will NOT be using Wegovy in combination with another GLP-1 receptor agonist agent or other weightloss medication.,Stop and contact provider to document this in the patient's chart. Add to your PA submission.
Wegovy (semaglutide),age,,dose_escalation,Document the patient is prescribed a dose escalation: Weeks 1-4: 0.25 mg; Weeks 5-8: 0.5 mg; Weeks 9-12: 1 mg; Weeks 13-16: 1.7 mg; Weeks 17-onward: 2.4 mg.,If patient does not tolerate the maintenance dose of 2.4 mg;the dose can be temporarily decreased to 1.7 mg for 4 weeks. After 4 weeks increase Wegovy to maintenance dose of 2.4 mg weekly. Discontinue Wegovy if the patient cannot tolerate 2.4 mg dose.
Wegovy (semaglutide),,bmi_over_30,bmi_over_27,Documented baseline body mass index (BMI) ≥ 30 kg/m^2 (within the last 30 days).,An initial BMI of less than 30 kg/m^2 is unlikely to be approved.
Wegovy (semaglutide),,with_weight_loss_agent,weight_loss_agent_success,Document the patient has tried a targeted weight loss agent for a previous course of therapy in the past 12 months AND the prescriber has provided information supporting the anticipated success of repeating therapy.,Stop and contact provider to document this in the patient's chart. Add to your PA submission.
Wegovy (semaglutide),,asian,bmi_over_25,Documented baseline body mass index (BMI) ≥ 25 kg/m^2 (within the last 30 days).,An initial BMI of less than 25 kg/m^2 is unlikely to be approved.
Wegovy (semaglutide),,bmi_over_85_percentile,bmi_over_85_percentile,Document the patient has a diagnosis of obesity; confirmed by a body mass index (BMI) ≥ 85th percentile for age and gender (within the last 30 days).,Wegovy is unlikely to get approved for BMI below 85th percentile.
Wegovy (semaglutide),,bmi_over_95_percentile_or_over_30,bmi_over_95_percentile,Document the patient has a diagnosis of obesity; confirmed by a body mass index (BMI) ≥ 95th percentile for age and gender (within the last 30 days).,Wegovy is unlikely to get approved for BMI below 95th percentile.
Wegovy (semaglutide),,less_than_52_weeks,less_than_52_weeks_2_4mg,Document patient has recieved less than 52 weeks of therapy on the 2.4mg dose.,A dose of 1.7 mg may be prescribed for 4 weeks if the patient can not tolerate the 2.4 mg dose.
Wegovy (semaglutide),,continuation,reduction_bmi_5percent,Document patient has achieved and has maintained a reduction in BMI of at least 5% from baseline.,Stop and contact provider to document this in the patient's chart. Add to your PA submission.
Wegovy (semaglutide),,over_52_weeks,dose_2_4mg,The requested dose is 2.4mg.,Stop and contact provider to document this in the patient's chart. Add to your PA submission.
Wegovy (semaglutide),,over_52_weeks_adolescent,dose_1_7_or_2_4mg,The requested dose is 1.7mg or 2.4mg.,Stop and contact provider to document this in the patient's chart. Add to your PA submission.
Wegovy (semaglutide),,less_than_52_weeks_adolescent,less_than_52_weeks_on_dose_1_7_or_2_4mg,Document patient has received less than 52 weeks of therapy on the 1.7 or 2.4mg dose.,Stop and contact provider to document this in the patient's chart. Add to your PA submission.
